# col1: wavelength, col2: cont_sub flux, col3: Flux error

4.901159999999999961e+00,4.319995295490391740e+00,4.307000000000000273e-01
4.902379999999999960e+00,3.108545980225784433e+00,4.733899999999999775e-01
4.903609999999999580e+00,2.593448550383591567e+00,1.602639999999999898e-01
4.904829999999999579e+00,1.890459024005670230e+00,4.659420000000000228e-01
4.906060000000000088e+00,1.538521796945131470e+00,2.608809999999999740e-01
4.907289999999999708e+00,1.535214736693539805e+00,1.547099999999999864e-01
4.908509999999999707e+00,1.485414731702102031e+00,4.235970000000000013e-01
4.909740000000000215e+00,1.575167645387612225e+00,5.469960000000000377e-01
4.910969999999999835e+00,2.628950610992719206e+00,3.797079999999999900e-01
4.912200000000000344e+00,2.488963590116981095e+00,3.556940000000000102e-01
4.913420000000000343e+00,2.268682497145992016e+00,2.356570000000000054e-01
4.914649999999999963e+00,2.358955144873917220e+00,3.337430000000000119e-01
4.915879999999999583e+00,1.456757691231628016e+00,3.378689999999999749e-01
4.917110000000000092e+00,1.118990097818654661e+00,4.022189999999999932e-01
4.918339999999999712e+00,1.721952326234461594e+00,4.627919999999999812e-01
4.919570000000000221e+00,2.351844338078576513e+00,3.451460000000000083e-01
4.920799999999999841e+00,2.833566094950477066e+00,2.721999999999999975e-01
4.922030000000000349e+00,3.621717558449624619e+00,3.537690000000000001e-01
4.923259999999999970e+00,3.436198690175503501e+00,3.330980000000000052e-01
4.924489999999999590e+00,2.714409451727691547e+00,6.813829999999999609e-01
4.925720000000000098e+00,1.597749804705577148e+00,3.805319999999999814e-01
4.926949999999999719e+00,1.262719710708699594e+00,5.300000000000000266e-01
4.928189999999999849e+00,2.438546076742760249e+00,5.629440000000000000e-01
4.929420000000000357e+00,2.694175213081534181e+00,3.800399999999999889e-01
4.930649999999999977e+00,2.794733786931805852e+00,2.917390000000000261e-01
4.931879999999999598e+00,2.531621759893081247e+00,4.258850000000000136e-01
4.933119999999999727e+00,1.791666996982950621e+00,4.553650000000000198e-01
4.934350000000000236e+00,2.082613891200082890e+00,1.610129999999999895e-01
4.935579999999999856e+00,1.976490069014504414e+00,1.916470000000000118e-01
4.936819999999999986e+00,8.152241111438378596e-01,6.658910000000000107e-01
4.938049999999999606e+00,2.771658978247517169e+00,9.025530000000000497e-01
4.939289999999999736e+00,2.750452108758638659e+00,4.944390000000000174e-01
